5061,10,1,0
2599,69,1,0
6777,97,1,0
4769,30,1,0
2105,77,1,0
2105,57,1,0
2105,40,1,0
2105,40,1,0
2105,40,1,0
2105,40,1,0
4769,47,1,0
5030,5,1,0
5030,29,1,0
5472,26,1,0
5472,96,1,0
2803,71,1,0
2803,71,1,0
4166,82,1,0
4166,82,0,1
4425,29,1,0
1264,48,1,0
5877,89,1,0
5877,55,1,0
2555,97,1,0
2555,9,1,0
2555,97,0,1
1751,55,1,0
1655,83,1,0
7737,95,1,0
2599,97,1,0
9766,99,1,0
3571,71,0,1
1492,73,1,0
1684,66,1,0
1684,66,1,0
1684,11,1,0
6204,12,1,0
5830,85,1,0
5830,29,1,0
6678,30,1,0
6821,25,1,0
6678,61,1,0
9231,11,1,0
6678,57,1,0
3599,29,1,0
6204,15,1,0
6678,60,1,0
6204,57,1,0
6821,2,1,0
2865,4,1,0
2865,33,1,0
2865,55,1,0
2865,49,1,0
6678,57,1,0
6595,12,1,0
3248,58,1,0
2569,25,1,0
2902,9,1,0
2902,58,1,0
2902,37,1,0
2902,99,1,0
2902,41,1,0
2902,83,1,0
3019,64,1,0
3019,38,1,0
6678,60,1,0
983,33,0,1
2569,44,1,0
9185,79,1,0
2645,96,1,0
9413,7,1,0
9185,49,1,0
1754,22,1,0
1754,58,1,0
6821,64,1,0
2865,18,1,0
3558,79,1,0
1492,73,1,0
1492,46,1,0
1492,83,1,0
1492,67,1,0
6386,98,1,0
6386,95,1,0
4769,47,1,0
4769,62,1,0
6245,39,1,0
6245,57,1,0
6245,7,1,0
6245,57,1,0
1855,57,0,1
6386,19,1,0
6245,57,1,0
6245,57,1,0
6386,91,1,0
6386,48,1,0
6245,6,1,0
9316,40,1,0
8862,62,1,0
8862,89,1,0
8862,59,1,0
4769,12,1,0
8862,30,1,0
6245,50,1,0
4391,15,1,0
9366,39,1,0
4769,30,1,0
9366,40,1,0
9366,6,1,0
9366,77,1,0
3698,82,1,0
2478,43,1,0
3698,61,1,0
2478,76,1,0
2478,12,1,0
2478,82,1,0
8873,65,1,0
8873,80,1,0
1492,73,1,0
6205,12,1,0
6205,12,1,0
3038,62,1,0
3038,62,1,0
4349,46,1,0
6748,22,0,1
3455,14,1,0
3455,14,0,1
4485,60,1,0
1492,23,1,0
4485,3,1,0
8873,31,1,0
9549,29,1,0
1492,30,1,0
4485,3,1,0
1492,5,1,0
8873,65,1,0
9549,6,1,0
6245,35,1,0
6245,89,1,0
3936,18,1,0
6245,14,1,0
4485,78,0,1
7002,84,1,0
6245,35,1,0
6245,57,1,0
857,55,1,0
1644,75,1,0
7002,84,0,1
2040,59,1,0
1644,6,1,0
6245,78,1,0
4769,47,1,0
4769,50,1,0
4769,83,1,0
4769,62,1,0
4769,25,1,0
4256,59,1,0
9027,54,1,0
6199,79,1,0
4256,64,1,0
2865,18,1,0
4256,25,1,0
4256,95,1,0
4256,64,1,0
4239,64,1,0
4769,83,1,0
4769,30,1,0
5657,99,1,0
4769,40,1,0
3273,12,1,0
4971,99,1,0
3273,57,1,0
3273,89,1,0
4110,64,1,0
4487,89,1,0
6896,81,1,0
8862,62,1,0
8862,93,1,0
7065,90,1,0
3881,9,1,0
3881,41,1,0
3881,98,1,0
3881,96,1,0
3917,36,1,0
3917,36,1,0
3917,36,1,0
1667,55,1,0
2105,16,1,0
2105,16,1,0
2105,16,1,0
2105,50,1,0
2105,17,1,0
2105,51,1,0
2105,51,1,0
2105,40,1,0
7069,1,1,0
2105,20,1,0
2105,61,1,0
3710,90,1,0
3710,48,1,0
3710,48,1,0
3710,90,1,0
3710,90,0,1
4487,89,1,0
4984,38,0,1
4444,17,1,0
2512,50,1,0
2512,50,1,0
2512,50,1,0
4487,89,1,0
2512,50,0,1
4487,89,1,0
7069,59,1,0
9342,59,1,0
2512,40,1,0
4487,89,0,1
9342,82,1,0
2198,10,1,0
2198,37,1,0
2198,93,1,0
2512,50,1,0
4487,81,1,0
4487,89,1,0
1856,16,1,0
5968,92,1,0
2512,40,0,1
2060,64,1,0
2060,46,1,0
4485,76,1,0
4485,20,1,0
4673,92,1,0
9607,42,1,0
4485,76,0,1
3843,82,1,0
3843,82,1,0
3843,61,1,0
9413,85,1,0
4300,81,1,0
4300,81,0,1
2599,46,1,0
2338,69,1,0
3111,58,1,0
3111,41,1,0
3843,81,1,0
3843,61,1,0
1381,64,1,0
6750,32,1,0
1667,41,1,0
