5061,10,1,8746,1,0
2599,69,1,8747,1,0
6777,97,1,468,1,0
4769,30,1,8741,1,0
2105,77,5,17662,1,0
2105,57,5,17662,1,0
2105,40,5,17662,1,0
2105,40,5,17662,1,0
2105,40,5,17662,1,0
2105,40,5,17662,1,0
4769,47,1,8741,1,0
5030,5,1,8242,1,0
5030,29,1,8242,1,0
5472,26,1,11815,1,0
5472,96,1,11815,1,0
2803,71,4,14127,1,0
2803,71,4,14127,1,0
4166,82,1,8818,1,0
4166,82,1,8818,0,1
4425,29,1,33448,1,0
1264,48,3,7428,1,0
5877,89,3,7635,1,0
5877,55,3,7635,1,0
2555,97,1,8819,1,0
2555,9,1,8819,1,0
2555,97,1,8819,0,1
1751,55,1,8267,1,0
1655,83,1,8234,1,0
7737,95,1,8291,1,0
2599,97,1,8747,1,0
9766,99,1,8745,1,0
3571,71,1,8268,0,1
1492,73,1,8253,1,0
1684,66,1,468,1,0
1684,66,1,468,1,0
1684,11,1,468,1,0
6204,12,1,22408,1,0
5830,85,1,8269,1,0
5830,29,1,8240,1,0
6678,30,6,20118,1,0
6821,25,1,8745,1,0
6678,61,6,20118,1,0
9231,11,3,1531,1,0
6678,57,6,20118,1,0
3599,29,1,15582,1,0
6204,15,1,22408,1,0
6678,60,6,20118,1,0
6204,57,1,22408,1,0
6821,2,1,8745,1,0
2865,4,4,13747,1,0
2865,33,4,13747,1,0
2865,55,4,13747,1,0
2865,49,4,13747,1,0
6678,57,6,20118,1,0
6595,12,1,8253,1,0
3248,58,1,8217,1,0
2569,25,1,8263,1,0
2902,9,6,19370,1,0
2902,58,6,19370,1,0
2902,37,6,19370,1,0
2902,99,6,19370,1,0
2902,41,6,19370,1,0
2902,83,6,19370,1,0
3019,64,1,8282,1,0
3019,38,1,8282,1,0
6678,60,6,20118,1,0
983,33,1,8739,0,1
2569,44,1,8263,1,0
9185,79,1,8250,1,0
2645,96,3,669,1,0
9413,7,3,8825,1,0
9185,49,1,8250,1,0
1754,22,1,8746,1,0
1754,58,1,8746,1,0
6821,64,1,8745,1,0
2865,18,4,13747,1,0
3558,79,1,8250,1,0
1492,73,1,8253,1,0
1492,46,1,8282,1,0
1492,83,3,669,1,0
1492,67,6,112,1,0
6386,98,1,8223,1,0
6386,95,1,8223,1,0
4769,47,1,8741,1,0
4769,62,1,8741,1,0
6245,39,1,8788,1,0
6245,57,1,8788,1,0
6245,7,1,8788,1,0
6245,57,1,8788,1,0
1855,57,1,8221,0,1
6386,19,1,8223,1,0
6245,57,1,8788,1,0
6245,57,1,8788,1,0
6386,91,1,8223,1,0
6386,48,1,8223,1,0
6245,6,6,22238,1,0
9316,40,6,24677,1,0
8862,62,6,22795,1,0
8862,89,6,22795,1,0
8862,59,6,22795,1,0
4769,12,1,8743,1,0
8862,30,1,8255,1,0
6245,50,6,21428,1,0
4391,15,6,20223,1,0
9366,39,5,12836,1,0
4769,30,1,8743,1,0
9366,40,5,12836,1,0
9366,6,5,12836,1,0
9366,77,5,12836,1,0
3698,82,6,21124,1,0
2478,43,1,41979,1,0
3698,61,6,22082,1,0
2478,76,1,41979,1,0
2478,12,1,41979,1,0
2478,82,1,41979,1,0
